id_publicacao,itens_apriori
"Uma pesquisa nacional na área da Psicologia, com participação de pesquisadores da UFSCar, está buscando adaptar, para a população brasileira, o RIAS-2, um instrumento amplamente utilizado para avaliar a inteligência de maneira geral, além de verificar como uma pessoa se lembra das coisas e a rapidez com que consegue resolver problemas.

Para isso, estudantes do curso de graduação em Psicologia da UFSCar, sob orientação da professora Monalisa Muniz, do Departamento de Psicologia (DPsi), estão convidando pessoas de 3 a 20 anos para participar do estudo, intitulado “Evidências de validade, precisão e estudos de normatização para a adaptação do instrumento RIAS-2”. 

📍 As aplicações são presenciais e acontecem em São Carlos e outras cidades do Estado de São Paulo.

📝 O teste dura cerca de 1 hora e os participantes poderão ter acesso ao resultado posteriormente.

💡 Interessados devem preencher o formulário no link: https://bit.ly/44tZphq

Saiba mais no portal da UFSCar, em ufscar.br! 

#Pesquisa #Psicologia #UFSCar #Inteligência #CIência","formato:imagem, engajamento:baixo, alcance:baixo"
"✨ 🌱 🌏 Chegou a vez do Campus Lagoa do Sino receber o BioFuturo Na Cidade. Neste sábado, 28 de junho, a partir das 7h30, as atividades do projeto serão realizadas no Lago Municipal de Campina do Monte Alegre. 

O projeto é uma ação do grupo de trabalho temático “Biodiversidade para o Futuro” do Instituto de Estudos Avançados e Estratégicos (IEAE), da UFSCar. O BioFuturo na Cidade propõe gerar mudanças e produzir conhecimentos acerca da biodiversidade e serviços ecossistêmicos das áreas verdes urbanas nas cidades. Confira no vídeo como foi a última edição do evento, em Sorocaba.

A programação completa da edição do BioFuturo Na Cidade, em Campina do Monte Alegre está disponível no perfil @biofuturonacidade. Confira. 

💚 Participe do BioFuturo Na Cidade e descubra como a natureza vive e resiste no espaço urbano! 

#biodiversidade #ciência #BioFuturoNaCidade #biologia
#cienciacidada","formato:reel, engajamento:medio, alcance:baixo"
"🚀 A UFSCar alcançou seu melhor resultado no THE Impact Rankings 2025, que avalia o impacto social e ambiental das universidades com base nos ODS da ONU! 🌍✨

🌱 Quer saber como a gente chegou lá?

➡️ Passe para o lado e confira os destaques!

Para saber mais, acesse a matéria completa no portal da UFSCar, em ufscar.br. 

#UFSCar #ODS #THEImpactRankings #Agenda2030 #UniversidadePública","formato:carrossel, engajamento:alto, alcance:alto"
"A Universidade Federal de São Carlos (UFSCar) está oferecendo vagas de Residências Médicas e Multiprofissionais em Saúde para início em 2026. O processo seletivo será por meio do Exame Nacional de Residências (Enare) e as inscrições poderão ser realizadas no período de 7 a 18 de julho para as Residências Médicas e de hoje, 25 de junho, a 18 de julho para as Residências Multiprofissionais.

Ao todo, são 43 vagas, sendo 14 vagas para as Residências Médicas, distribuídas entre os Programas de Residência Médica em Clínica Médica, Pediatria, Medicina de Família e Comunidade e Psiquiatria, e 29 vagas para as Residências Multiprofissionais, distribuídas entre os Programas de Residência Multiprofissional em Saúde da Família, Atenção à Saúde Mental e Atenção à Saúde do Adulto e Idoso.

Os editais com as informações completas estão acessíveis no site do Enare (https://enare.ebserh.gov.br).","formato:imagem, engajamento:medio, alcance:alto"
"Histórias que fazem a UFSCar

Sabrina Campos é egressa do curso de Agroecologia da UFSCar, campus Araras. Durante a graduação se descobriu apaixonada no curso que escolheu e hoje percebe o quanto amadureceu durante sua trajetória acadêmica 

As oportunidades que viveu dentro da UFSCar, de grupos de estudos a empresa Júnior, foram o subsídio para sua formação pessoal e profissional.

Sabrina destaca a importância da plataforma Alumni para quem já passou pela UFSCar e quem está chegando agora: “Ver o que o egresso está fazendo, no que está trabalhando, conseguir se basear [...] eu acho que isso abre um leque de opções, principalmente para você se relacionar, ver aquilo que você quer para sua vida”.

📲 cadastre-se na Alumni UFSCar e faça parte dessa rede que conecta histórias, conquistas e oportunidades! 

🌐 acesse alumni.ufscar.br

Uma vez UFSCar, sempre UFSCar!

#SouAlumniUFSCar","formato:reel, engajamento:medio, alcance:baixo"
"Há muitas possibilidades para quem quer trabalhar na área ambiental! Na UFSCar, um dos caminhos é o curso de Engenharia Ambiental oferecido no campus Lagoa do Sino. Neste vídeo que o estudante e bolsista do projeto UFSCar Escola Gabriel Sanefuji fez pra gente, você fica sabendo de tudo sobre o curso! Vem ver!

#ufscar #ufscarlagoadosino #engenhariaambiental #visauniversitaria #vlog

------------
Ficha técnica:
Produção, roteiro, imagens e edição de Gabriel Sanefuji @gab.sanne
Supervisão de Agnes Arato (CCS-UFSCar)","formato:reel, engajamento:medio, alcance:baixo"
"🪟🐦 Colisões de aves com vidraças: um problema invisível, mas alarmante!

Um estudo internacional, com participação do professor Augusto João Piratelli, do Campus Sorocaba da UFSCar, resultou no maior banco de dados já compilado sobre o tema na região Neotropical — que vai do México à Patagônia.

Os dados revelam que, ao contrário do que se pensa, a maioria dos acidentes não acontece em grandes prédios, mas em construções baixas, como casas, áreas rurais e universidades. No Brasil, o Campus Sorocaba da UFSCar é referência nesse monitoramento e no teste de soluções preventivas.

A pesquisa destaca ainda a necessidade urgente de políticas públicas que considerem a realidade da nossa região e ajudem a tornar as cidades mais seguras para as aves e para toda a biodiversidade.

📊 O banco de dados está disponível em acesso aberto na plataforma Zenodo e pode apoiar decisões mais eficazes!

Para mais informações, acesse o portal da UFSCar em ufscar.br! 

#UFSCar #Ciência #Conservação #Aves #Biodiversidade #MeioAmbiente #Pesquisa","formato:imagem, engajamento:alto, alcance:alto"
"🎓🌱 Dia Internacional das Mulheres na Engenharia | 23 de Junho

Maria Heloísa e Maria Júlia são estudantes de Engenharia Agronômica no Campus Lagoa do Sino da UFSCar. Filhas de agricultores e ex-alunas de escola pública, elas são as primeiras da família a ingressar em uma universidade pública.

A trajetória dessas jovens mostra como a parceria entre escola pública e universidade pode abrir caminhos e transformar vidas. 🌟

💬 “Estar aqui é a realização de um sonho.”

No Dia Internacional das Mulheres na Engenharia, celebramos histórias como a delas — que nos lembram da força, da dedicação e do papel fundamental das mulheres na construção de um futuro mais justo, sustentável e igualitário. 💪🏽👩🏽🔬🌾

-
Ficha técnica:
Imagens e entrevistas: Maria Alice Pezzoni e Tiago Santi 
Direção: Tiago Santi
Coordenação geral: Agnes Arato

#MulheresNaEngenharia #UFSCar #LagoaDoSino #TransformaçãoPelaEducação #OrgulhoUFSCar","formato:reel, engajamento:desconhecido, alcance:desconhecido"
"Se a polícia é um tema relativamente novo entre os historiadores, estava quase intocado o problema levantado neste livro, o do surgimento da polícia e da segurança pública em meio ao regime escravista que vigorava no Brasil do século XIX. Em ""Policiar nos tempos da escravidão"", a historiadora Larissa Biato de Azevedo explica a criação de cargos e funções policiais, a organização da Polícia e analisa as ocorrências envolvendo escravos, libertos e africanos livres tratadas pelas autoridades da época. Ao mobilizar variadas fontes para entender a relação entre o dever de policiar, a nascente ideia de segurança pública e a escravidão, este livro provoca uma reflexão sobre a polícia no tempo e traz uma necessária leitura sobre a instituição no Brasil Império.

A obra está disponível no site da EdUFSCar: https://edufscar.com.br","formato:reel, engajamento:medio, alcance:medio"
"Planejando começar o mestrado ou o doutorado ainda esse ano, ou iniciar os seus estudos como aluno especial? Então, não deixe de conferir a lista com os programas com edital publicado e/ou inscrições abertas nos campi São Carlos e Sorocaba da UFSCar. 

Acesse em: https://bit.ly/mestrado-doutorado-na-ufscar ou visite o Portal da UFSCar: www.ufscar.br.","formato:imagem, engajamento:medio, alcance:alto"
"Você tem vontade de empreender? Conhece as oportunidades que a UFSCar oferece para isso?

Fernando Guerreiro é egresso do curso de Ciências Econômicas da UFSCar Sorocaba e atualmente é aluno de mestrado do Programa de Pós-Graduação de Ciência, Tecnologia e Sociedade de São Carlos.
Ingressou na graduação em 2019 e fundou a Liga do Empreendedorismo que se desdobrou em uma rede composta por mais de 100 universidades do Brasil. 
A partir dessa iniciativa, ampliou seu vínculo com a UFSCar, através do Departamento de Computação do campus São Carlos e explorou a multidisciplinaridade dos campi ao fazer seu TCC, com orientadores desses dois departamentos, desdobrando em seu atual projeto de mestrado.

“E o legal da UFSCar é isso, eu tive minha formação, minha graduação lá em Sorocaba e agora eu também tenho oportunidade de me conectar com esses outros professores de São Carlos”, relatou Fernando.

Seu Trabalho de Conclusão de Curso foi um modelo piloto para avaliar como a Universidade impacta através das empresas filhas, empresas fundadas por pessoas que têm vínculo com a Universidade – concluindo que a Plataforma Alumni UFSCar amplia as possibilidades de conexão de iniciativas como essa

📲 cadastre-se na Alumni UFSCar e faça parte dessa rede que conecta histórias, conquistas e oportunidades! 

🌐 acesse alumni.ufscar.br

Uma vez UFSCar, sempre UFSCar!

#SouAlumniUFSCar","formato:reel, engajamento:medio, alcance:baixo"
"Grafismo indígena no Campus Sorocaba!!

O Campus Sorocaba da UFSCar inaugura a primeira manifestação artística indígena no Campus. O grafismo foi concebido por Reginaldo Ramos (@mahsakura), artista e aluno do curso de Engenharia Florestal. 

A iniciativa é uma forma de marcar a presença de estudantes indígenas na Universidade, e trazer uma maior representatividade e pluralidade para a UFSCar. 

Vamos prestigiar o belo trabalho! 
--
Ficha técnica
Entrevistas: Daniela Milani 
Imagens: Daniela Milani e Giovanna Consorti 
Edição: Fabricio Mazocco
Direção: Agnes Arato

#grafismo #grafismoindigena #indígenas #ufscarsorocaba","formato:reel, engajamento:alto, alcance:medio"
"🌱 Projeto Transição Tropical em Lagoa do Sino anuncia resultados e bolsas de Mestrado e IC🌾

No último dia 12/06, o Projeto Transição Tropical, desenvolvido na Fazenda Escola Lagoa do Sino (FELS), apresentou os resultados do seu 3º ciclo e anunciou uma grande novidade: bolsas de mestrado, iniciação científica e iniciação científica júnior para pesquisas alinhadas aos objetivos do projeto! 👩🏽🔬👨🏻🌾

A iniciativa, que busca transformar o modelo agrícola com base na agricultura regenerativa e orgânica, agora conta com R$ 400 mil em recursos vindos de emenda do deputado federal @guilhermeboulos.oficial 💰🌿

🧪 As inscrições para as bolsas vão até 27 de junho, e os editais já estão disponíveis no site da FELS (Link clicável nos stories). Os projetos devem se alinhar a uma das linhas temáticas:

(i) Biodiversidade
(ii) Sustentabilidade
(iii) Sociedade
(iv) Produção de Alimentos
(v) Alimentos Saudáveis

Essa é uma realização da FELS (@felsufscar) em parceria com o Instituto Folio (@folio.organicos), com apoio dos Institutos Ibirapitanga (@iibirapitanga) e Itaúsa (@itausaholding), além de diversos parceiros institucionais e tecnológicos.

🔗 Confira todos os detalhes no site da FELS e leia a matéria completa no Portal da UFSCar!

#TransiçãoTropical #LagoaDoSino #UFSCar #Agroecologia #AgriculturaRegenerativa #Ciência #IniciaçãoCientífica #Mestrado #BolsasDePesquisa","formato:imagem, engajamento:desconhecido, alcance:desconhecido"
"Atenção, estudantes da UFSCar! Estão abertas as inscrições para a seleção de trabalhos que representarão a universidade nas 32ª Jornadas de Jovens Pesquisadores da AUGM, que acontecerão de 5 a 7 de novembro, na Universidad Nacional de Tucumán (Argentina)! 🇦🇷✨

📌 Podem participar alunos de graduação e pós-graduação, com trabalhos de pesquisa.

🗓️ Inscrições até 27 de junho, às 18h. Estudantes selecionados terão auxílio para viagem e estadia! 💸✈️

📑 Confira os editais no site da SRInter: www.srinter.ufscar.br

📬 Dúvidas? jornadas.augm.srinter@ufscar.br

Para mais informações, acesse o portal da UFSCar em ufscar.br! 

#UFSCar #SRInter #ProPG #AUGM #JornadasDeJovensPesquisadores #Pesquisa #CiênciaSemFronteiras #MobilidadeAcadêmica","formato:imagem, engajamento:baixo, alcance:medio"
"Universitários... como se alimentam? Aqui na UFSCar, nos Restaurantes Universitários (RUs) dos quatro campi!

Você sabia que qualquer pessoa pode comer nos RUs da UFSCar? Confira os valores praticados atualmente (junho/25):

Estudante Bolsista Alimentação Integral PAE – Gratuito

Estudante Bolsista Intermediário PAE – R$ 2,50 (dois reais e cinquenta centavos)

Estudante Regular (Graduação e Pós Graduação) – R$ 4,20 (quatro reais e vinte centavos)

Servidor (Técnico Administrativo e Docente) e Terceirizados – R$ 14,32 (quatorze reais e trinta e dois centavos)

Visitante – R$ 14,50 (quatorze reais e cinquenta centavos)

Mais informações: https://www.proad.ufscar.br/pt-br/servicos/restaurante-universitario

#restauranteuniversitario #ufscar #vlog #vidauniversitaria #universidade

-——————

Ficha técnica
Universitária: Beatriz Vasconcelos
Voz: Arthur Chaves
Roteiro: Sofia Festucci Pavan
Produção e imagens: Sofia Festucci Pavan e Giulia Ramos
Edição: Giulia Ramos
Supervisão: Agnes Arato (CCS-UFSCar)","formato:reel, engajamento:alto, alcance:alto"
"🦠💉 Tuberculose e biossegurança: o que você sabe sobre isso?

Uma pesquisa da UFSCar busca entender o nível de conhecimento de estudantes da área da saúde sobre medidas de controle de infecção e biossegurança da tuberculose. O objetivo? Identificar lacunas na formação e ajudar a construir práticas mais seguras no cuidado em saúde.

📊 A pesquisa é realizada por Letícia Cezarino, com orientação da profa. Mellina Yamamura (DEnf/UFSCar), e conta com apoio da Fapesp.

🧪 Se você é estudante de graduação da área da saúde, participe! Basta responder o questionário até 30 de junho e contribuir com essa importante iniciativa científica.

📌 Link do formulário: https://bit.ly/4dQU5rM
Saiba mais no portal da UFSCar, em ufscar.br!

#Tuberculose #Biossegurança #UFSCar #SaúdePública #FormaçãoEmSaúde #Enfermagem #Medicina #Fisioterapia #TerapiaOcupacional #Psicologia #Nutrição #PesquisaCientífica #Fapesp","formato:imagem, engajamento:baixo, alcance:medio"
"Depois do sucesso das edições anteriores, a Livraria da EdUFSCar realiza neste sábado, 14 de junho, às 14h30, mais um evento de contação de histórias. Desta vez, Loany Santos contará ao público presente, principalmente para as crianças, as histórias do livro didático Mitologia Iorubá, de autoria dela e com ilustração do artista DaSilva. 

A entrada é aberta ao público!! 

#contacaodehistórias #edufscar #mitologia","formato:reel, engajamento:medio, alcance:baixo"
"🗣️ Quem tem direito à palavra? A fala das mulheres foi moldada — e silenciada — pela dominação masculina. O livro “A fala feminina: silenciamentos e resistências”, de Amanda Braga (UFPB) e Carlos Piovezani (UFSCar), retraça essa história de opressão... e de resistência.

📖 Da Antiguidade ao Brasil atual, os autores mostram como a voz feminina sempre foi ameaçada — seja por meio de desprezos, violências ou feminicídios — e como lutar pela palavra é, ainda hoje, um ato de emancipação.

✨ Com apresentação de Erika Hilton, prefácio de Marlène Coulomb-Gully e quarta capa de Talíria Petrone, a obra está disponível no site da Editora Jandaíra.

Saiba mais no portal da UFSCar, em ufscar.br.  
#FalaFeminina #Silenciamento #ResistênciaFeminina #LinguagemEGênero #Feminismo #DireitoÀPalavra #AmandaBraga #CarlosPiovezani #EditoraJandaíra #UFPB #UFSCar","formato:imagem, engajamento:medio, alcance:medio"
"Biodiversidade 🌱 🌏 O projeto BioFuturo na Cidade avança e, neste sábado, chega à Sorocaba. Ele será realizado na APP Rio Sorocaba e Jardim Botânico, a partir das 7 horas com a recepção e café comunitário. O ponto de encontro no horário de início de cada atividade na APP Rio Sorocaba será no Núcleo ETC - UFSCar.

O projeto é uma ação do grupo de trabalho temático “Biodiversidade para o Futuro” do Instituto de Estudos Avançados e Estratégicos (IEAE), da UFSCar. O BioFuturo na Cidade propõe gerar mudanças e produzir conhecimentos acerca da biodiversidade e serviços ecossistêmicos das áreas verdes urbanas nas cidades. A última edição da iniciativa foi realizada em Araras. Confira no vídeo! 

A programação detalhada das atividades pode ser confira no @biofuturonacidade. Participe!

#ufscar #biofuturonacidade #biodiversidade #ciencia","formato:reel, engajamento:alto, alcance:baixo"
"A UFSCar, através de sua Pró-Reitoria de Graduação (Prograd), divulgou os números de ocupação das vagas oferecidas e o perfil dos ingressantes nos cursos de graduação em 2025 na Universidade. 🎓

👥 Neste ano a UFSCar recebeu, em seus quatro campi (São Carlos, Araras, Sorocaba e Lagoa do Sino), 2.494 novos estudantes na graduação. 

A ocupação final média dos cursos ficou em 85,1%, bem acima da média nacional no Ensino Superior Público que, segundo o último Censo da Educação Superior (2023), foi de 74,2% na rede federal. 

Além disso, 45 dos 66 cursos oferecidos pela Universidade tem acima desses 86% de ocupação, com destaque para os cursos de Letras-Inglês, Letras-Espanhol, Engenharia Física e Engenharia de Produção, com 100% de ocupação das vagas oferecidas. 

Sobre o perfil do ingressante em 2025, alguns destaques:

* 31,5% das pessoas ingressantes são pretas e pardas - mais que o dobro do número observado em 2005, anterior às políticas de ações afirmativas, quando apenas 14,5% dos estudantes ingressantes se declararam pretos ou pardos; 
* Em 2025, 54,9% dos estudantes que ingressaram na graduação vieram de escolas públicas; 
* 85 estudantes provenientes de povos indígenas dos estados do Amazonas, Pará, Pernambuco e São Paulo chegaram à UFSCar este ano, sendo que 74 ingressaram via Vestibular Indígena, realizado em parceria com a Unicamp, e 11 via SiSU;
* 81 estudantes com deficiência ingressaram via reserva de vagas;
* E em consonância com a tendência nacional, a presença das mulheres é maior na graduação: 53,2% se identificam como do gênero feminino e, 46,7%, do gênero masculino. 👩‍🎓👨‍🎓

Saiba mais na matéria completa, disponível no Portal da UFSCar: www.ufscar.br 🔗📰

#UFSCar #Graduação #Inclusão #Diversidade #EducaçãoSuperior #EnsinoPúblico #AçõesAfirmativas #VestibularIndígena #EducaçãoTransforma #universidade","formato:carrossel, engajamento:alto, alcance:alto"
"🧠✨ Você sabia que o estilo dos seus pais pode influenciar sua criatividade e a confiança que você tem para criar?

Uma pesquisa da Psicologia da UFSCar está investigando a relação entre os estilos parentais e a criatividade dos filhos, com foco também na autoeficácia criativa — ou seja, a crença na própria capacidade de ser criativo!
Se você tem entre 18 e 25 anos, participe respondendo o questionário no link: https://bit.ly/3Ssza4f
 São só 15 minutinhos e sua contribuição é super importante!

Quer saber mais? Fale com Ana Luiza Franceschini pelo e-mail: ana.franceschini@estudante.ufscar.br ou pelo WhatsApp (19) 99920-0210.
Projeto aprovado pelo Comitê de Ética da UFSCar e com apoio da Fapesp.

Saiba mais no portal da UFSCar, em ufscar.br!  
#UFSCar #Pesquisa #Criatividade #Psicologia #AutoeficáciaCriativa #EstilosParentais #Ciência #Inovação","formato:imagem, engajamento:baixo, alcance:baixo"
"🌟 UFSCar na Rede Brics-NU!

🚀 A UFSCar está entre as 20 instituições brasileiras aprovadas pela Capes para integrar a Rede de Universidades do Brics (Brics-NU).

No vídeo, o Pró-Reitor de Pós-Graduação, Rodrigo Constante Martins, apresenta a área temática em que a Universidade foi contemplada, os benefícios da participação na rede e os próximos passos.  ▶️ Assista e saiba mais sobre essa conquista.

Mais informações estão no Portal da UFSCar, em ufscar.br.

#UFSCar #BRICS #Internacionalização #CooperaçãoCientífica","formato:reel, engajamento:alto, alcance:medio"
"Neste Dia dos Namorados, celebramos todos os encontros que acontecem entre corredores, salas de aula, laboratórios e espaços de convivência da UFSCar. Histórias plurais, diversas e legítimas, que mostram que o amor também constrói a universidade. Que cada casal, de todas as cores, gêneros, formas e maneiras de amar siga encontrando aqui um lugar de respeito, liberdade e afeto. ❤🤍

Renata e Marcelo são egressos do curso de Engenharia de Computação e têm uma história que começou ainda no cursinho, passou pelo vestibular, pela graduação e segue firme há 30 anos. Entre provas, aulas e planos de futuro, eles construíram juntos uma trajetória de amor, companheirismo e aprendizado dentro e fora da Universidade.
Em visita recente ao campus, o casal relembra com carinho os momentos vividos e reforça a importância da UFSCar em suas vidas e na formação das filhas, hoje vestibulandas. Uma história que nos enche de alegria e que a Alumni UFSCar tem o prazer de contar.

Além de compartilhar histórias inspiradoras como a de Renata e Marcelo, a plataforma Alumni UFSCar é um espaço exclusivo para fortalecer os laços da nossa comunidade. Lá, egressos, estudantes, docentes e técnicos administrativos podem se reencontrar, divulgar projetos, acessar oportunidades e contar suas próprias histórias. Ainda não faz parte? 

Cadastre-se em alumni.ufscar.br e junte-se a essa rede que cresce a cada dia!

E você, tem uma história de amor que começou na UFSCar? Seja um romance que surgiu na fila do RU, durante as aulas ou em qualquer cantinho do campus, queremos ouvir você! Se você ainda está vivendo essa história ou se ela já faz parte da sua trajetória como egressa(o), compartilhe com a gente.

Uma vez UFSCar, sempre UFSCar. ❤🤍","formato:reel, engajamento:alto, alcance:medio"
